main_category,subcategory,title,author,url,source
Social Sciences & Society,Politics,Democracy in America — Volume 2,Alexis de Tocqueville,https://www.gutenberg.org/ebooks/816,gutenberg
History,Archaeology & Anthropology,Demonology and Devil-lore,Moncure Daniel Conway,https://www.gutenberg.org/ebooks/40686,gutenberg
Education & Reference,Journals,Denkschriften der Kaiserlichen Akademie der Wissenschaften,"Kaiserlichen Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse",https://openlibrary.org/works/OL13084918W,openlibrary
Arts & Culture,"Essays, Letters & Speeches",De Profundis,Oscar Wilde,https://www.gutenberg.org/ebooks/921,gutenberg
Literature,German Literature,Der Antichrist,"Friedrich Nietzsche, Henri Albert, H. L. Mencken, Henry Mencken, Guro Verlag",https://openlibrary.org/works/OL15692719W,openlibrary
Science & Technology,Engineering & Technology,"De Re Metallica, Translated from the First Latin Edition of 1556",Georg Agricola,https://www.gutenberg.org/ebooks/38015,gutenberg
History,History - Ancient,De rerum natura,Titus Lucretius Carus,https://openlibrary.org/works/OL1548597W,openlibrary
History,History - European,Der Marquis de Sade und seine Zeit. (German),Iwan Bloch,https://www.gutenberg.org/ebooks/68400,gutenberg
Literature,German Literature,Der Proceß,Franz Kafka,https://openlibrary.org/works/OL498463W,openlibrary
Arts & Culture,Music,Der Ritt der Walkuren,"Richard Wagner, Stewart Spencer, Barry Millington, Jean d' Ariège, Nicholas John, Andrew Porter, William Ryden, Albert E Wier, T. Noyes Lewis, Edward Benson",https://openlibrary.org/works/OL579130W,openlibrary
Literature,German Literature,Der Skorpion. Band 1 (German),Anna Elisabet Weirauch,https://www.gutenberg.org/ebooks/75397,gutenberg
Literature,German Literature,Der Steppenwolf,Hermann Hesse,https://openlibrary.org/works/OL872773W,openlibrary
Literature,German Literature,Der Struwwelpeter (German),Heinrich Hoffmann,https://www.gutenberg.org/ebooks/24571,gutenberg
Literature,German Literature,Der Zauberberg,Thomas Mann,https://openlibrary.org/works/OL14866824W,openlibrary
Literature,Biographies,Diary,Samuel Pepys,https://openlibrary.org/works/OL193961W,openlibrary
Literature,German Literature,Die Blechtrommel,Günter Grass,https://openlibrary.org/works/OL67334W,openlibrary
History,History - European,"Die Deutschen Familiennamen, geschichtlich, geographisch, sprachlich (German)",Albert Heintze,https://www.gutenberg.org/ebooks/58804,gutenberg
History,History - Other,Die Frauenfrage: ihre geschichtliche Entwicklung und wirtschaftliche Seite (German),Lily Braun,https://www.gutenberg.org/ebooks/14075,gutenberg
Literature,Novels,Die Geschwister Oppermann,Lion Feuchtwanger,https://openlibrary.org/works/OL1185297W,openlibrary
Literature,German Literature,Die Leiden des jungen Werthers,Johann Wolfgang von Goethe,https://openlibrary.org/works/OL52556W,openlibrary
Arts & Culture,Fashion,Die Mode,Max von Boehn,https://openlibrary.org/works/OL3051848W,openlibrary
Religion & Philosophy,Religion/Spirituality,Die protestantische Ethik und der Geist des Kapitalismus,"Max Weber, Gilbert Geis, Sebastian Guzman, James Hill, Joaquín Abellán García, Đặng Thị Nguyệt Ánh, Le Minh Ton, Tôn Lê Minh, Talcott Parsons, Benito Romero, Suzanne Barbeau, Jacques Chavy, Piero Burresi, Isabelle Kalinowski, Luis Legaz Lacambra",https://openlibrary.org/works/OL1362905W,openlibrary
Health & Medicine,Nutrition,Diet and Health; With Key to the Calories,Lulu Hunt Peters,https://www.gutenberg.org/ebooks/15069,gutenberg
Literature,German Literature,Die Verwandlung,Franz Kafka,https://openlibrary.org/works/OL498556W,openlibrary
Literature,German Literature,Die Verwandlung (German),Franz Kafka,https://www.gutenberg.org/ebooks/22367,gutenberg
Science & Technology,Engineering & Technology,Digital photography for dummies,Julie Adair King,https://openlibrary.org/works/OL71938W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Discourses on a Sober and Temperate Life,Luigi Cornaro,https://www.gutenberg.org/ebooks/30660,gutenberg
Arts & Culture,Music,Discovering Classical Music,Ian Christians,https://openlibrary.org/works/OL8772290W,openlibrary
History,History - Religious,Doctrina Christiana (Spanish) (Tagalog),,https://www.gutenberg.org/ebooks/16119,gutenberg
History,History - Religious,Dom Casmurro,Joaquim Maria Machado de Assis,https://openlibrary.org/works/OL1003040W,openlibrary
Science & Technology,Science - Earth/Agricultural/Farming,Domestic Animals,Richard Lamb Allen,https://www.gutenberg.org/ebooks/34175,gutenberg
Arts & Culture,Music,Don Giovanni,Wolfgang Amadeus Mozart,https://openlibrary.org/works/OL624289W,openlibrary
History,History - European,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,https://openlibrary.org/works/OL503666W,openlibrary
Science & Technology,Science - Physics,Doubt and certainty,"Tony Rothman, George Sudarshan",https://openlibrary.org/works/OL2039273W,openlibrary
Literature,"Crime, Thrillers & Mystery",Dracula,Bram Stoker,https://www.gutenberg.org/ebooks/345,gutenberg
Literature,Literature - Other,Dragonflight,Anne McCaffrey,https://openlibrary.org/works/OL73387W,openlibrary
Social Sciences & Society,Psychiatry/Psychology,Drei Abhandlungen zur Sexualtheorie (German),Sigmund Freud,https://www.gutenberg.org/ebooks/39938,gutenberg
Arts & Culture,Fashion,Dress design : an account of costume for artists & dressmakers,Talbot Hughes,https://www.gutenberg.org/ebooks/34903,gutenberg
Health & Medicine,Drugs/Alcohol/Pharmacology,Drug metabolism and alcohol,R. C. Pirola,https://openlibrary.org/works/OL6674183W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,"Drugs of abuse, immunity, and immunodeficiency","Herman Friedman, Steven Specter, Thomas W. Klein",https://openlibrary.org/works/OL18015391W,openlibrary
Literature,Biographies,Dubliners,James Joyce,https://openlibrary.org/works/OL86320W,openlibrary
Social Sciences & Society,Politics,Du contrat social,Jean-Jacques Rousseau,https://openlibrary.org/works/OL80609W,openlibrary
Literature,Novels,Dune,Frank Herbert,https://openlibrary.org/works/OL893415W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Easy style room by room,"Stevie Henderson, Mark Baldwin",https://openlibrary.org/works/OL16070444W,openlibrary
Literature,Biographies,Ecce Homo,Friedrich Wilhelm Nietzsche,https://www.gutenberg.org/ebooks/52190,gutenberg
Education & Reference,Teaching & Education,Educational psychology,"Anita Woolfolk Hoy, Philip H. Winne, Nancy E. Perry, Beth Popiel",https://openlibrary.org/works/OL2651233W,openlibrary
Science & Technology,Science - Earth/Agricultural/Farming,"Effects of 1992 farming systems on ground-water quality at the management systems evaluation area near Princeton, Minnesota",G. N Delin,https://openlibrary.org/works/OL18367052W,openlibrary
Education & Reference,Reports & Conference Proceedings,Eighth annual migration conference,Annual Migration Conference (8th 1962 Geneva),https://openlibrary.org/works/OL37023452W,openlibrary
Social Sciences & Society,Gender & Sexuality Studies,Eighty Years and More; Reminiscences 1815-1897,Elizabeth Cady Stanton,https://www.gutenberg.org/ebooks/11982,gutenberg
Science & Technology,Engineering & Technology,Einstein,"Walter Isaacson, Illus. with photos",https://openlibrary.org/works/OL4288870W,openlibrary
Literature,Novels,El amor en los tiempos del cólera,Gabriel García Márquez,https://openlibrary.org/works/OL274518W,openlibrary
Literature,Biographies,El conde Lucanor,Don Juan Manuel,https://openlibrary.org/works/OL249192W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Elderhood,Louise Aronson,https://openlibrary.org/works/OL21341409W,openlibrary
History,History - Royalty,Eleanor of Aquitaine,Alison Weir,https://openlibrary.org/works/OL497246W,openlibrary
Science & Technology,Science - Physics,Elements of noncommutative geometry,"José Gracia Bondía, Joseph C. Varilly, Hector Figueroa, Jose M. Gracia-Bondia",https://openlibrary.org/works/OL12017266W,openlibrary
History,History - Royalty,"Elizabeth, Empress of Austria and Queen of Hungary",Carl Küchler,https://www.gutenberg.org/ebooks/60408,gutenberg
Religion & Philosophy,Religion/Spirituality,El paraíso perdido (Spanish),John Milton,https://www.gutenberg.org/ebooks/67092,gutenberg
Arts & Culture,Architecture,Ely Cathedral,Anonymous,https://www.gutenberg.org/ebooks/20924,gutenberg
Education & Reference,Teaching & Education,Emile,Jean-Jacques Rousseau,https://www.gutenberg.org/ebooks/5427,gutenberg
Literature,Biographies,Emily Brontë,A. Mary F. Robinson,https://www.gutenberg.org/ebooks/25789,gutenberg
Literature,British Literature,Emma,Jane Austen,https://www.gutenberg.org/ebooks/158,gutenberg
Social Sciences & Society,Psychiatry/Psychology,Emotional Intelligence,Daniel Goleman,https://openlibrary.org/works/OL1878267W,openlibrary
History,History - European,"Encyclopaedia Britannica, 11th Edition, ""Bohemia"" to ""Borgia, Francis""",Various,https://www.gutenberg.org/ebooks/33614,gutenberg
Science & Technology,Engineering & Technology,"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",Various,https://www.gutenberg.org/ebooks/30073,gutenberg
Science & Technology,Science - Physics,"Encyclopaedia Britannica, 11th Edition, ""Electrostatics"" to ""Engis""",Various,https://www.gutenberg.org/ebooks/35169,gutenberg
Social Sciences & Society,Law & Criminology,"Encyclopaedia Britannica, 11th Edition, ""Greek Law"" to ""Ground-Squirrel""",Various,https://www.gutenberg.org/ebooks/38202,gutenberg
Arts & Culture,Music,"Encyclopaedia Britannica, 11th Edition, ""Harmony"" to ""Heanor""",Various,https://www.gutenberg.org/ebooks/39632,gutenberg
History,History - Royalty,"Encyclopaedia Britannica, 11th Edition, ""Lord Chamberlain"" to ""Luqman""",Various,https://www.gutenberg.org/ebooks/43427,gutenberg
Science & Technology,Science - Earth/Agricultural/Farming,"Encyclopaedia Britannica, 11th Edition, ""Magnetite"" to ""Malt""",Various,https://www.gutenberg.org/ebooks/42854,gutenberg
